,storage (m3),inflow (m3/h),precipitaion (m3/h),evaporation (m3/h),outflow (m3/h),spilt (m3/h)
0,55501237469.705864,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
1,55502474939.41173,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
2,55503712409.11759,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
3,55504949878.823456,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
4,55506187348.52932,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
5,55507424818.23518,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
6,55508662287.94105,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
7,55509899757.64691,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
8,55510553842.61568,1366203.5999999999,0.0,128733.89413533836,583384.7370963404,0.0
9,55506799314.07978,1366203.5999999999,0.0,128733.89413533836,4991998.241762607,0.0
10,55502025259.2732,1366203.5999999999,0.0,128733.89413533836,6011524.512443783,0.0
11,55497392037.436264,1366203.5999999999,0.0,128733.89413533836,5870691.542799686,0.0
12,55493450745.53238,1366203.5999999999,0.0,128733.89413533836,5178761.609750155,0.0
13,55490204601.203896,1366203.5999999999,0.0,128733.89413533836,4483614.034348495,0.0
14,55486908481.000206,1366203.5999999999,0.0,128733.89413533836,4533589.909555401,0.0
15,55483741786.65154,1366203.5999999999,0.0,128733.89413533836,4404164.054527283,0.0
16,55481687125.92963,1366203.5999999999,0.0,128733.89413533836,3292130.4277796526,0.0
17,55481106143.52574,1366203.5999999999,0.0,128733.89413533836,1818452.1097519095,0.0
18,55481591097.10258,1366203.5999999999,0.0,128733.89413533836,752516.1290322577,0.0
19,55482828566.80844,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
20,55484066036.514305,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
21,55485303506.22017,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
22,55486540975.92603,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
23,55487778445.6319,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
24,55489015915.33776,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
25,55490253385.043625,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
26,55491490854.74949,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
27,55492728324.45535,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
28,55493965794.16122,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
29,55495203263.86708,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
30,55496440733.572945,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
31,55497678203.27881,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
32,55498507772.11856,1366203.5999999999,0.0,128733.89413533836,407900.8661181638,0.0
33,55494957286.59342,1366203.5999999999,0.0,128733.89413533836,4787955.231006544,0.0
34,55490412737.163185,1366203.5999999999,0.0,128733.89413533836,5782019.136099694,0.0
35,55486031730.38001,1366203.5999999999,0.0,128733.89413533836,5618476.48903624,0.0
36,55482362610.51913,1366203.5999999999,0.0,128733.89413533836,4906589.566750597,0.0
37,55479405498.44871,1366203.5999999999,0.0,128733.89413533836,4194581.776283976,0.0
38,55476412518.02996,1366203.5999999999,0.0,128733.89413533836,4230450.124609166,0.0
39,55473560215.07914,1366203.5999999999,0.0,128733.89413533836,4089772.6566821467,0.0
40,55471828100.59378,1366203.5999999999,0.0,128733.89413533836,2969584.1912231445,0.0
41,55471342120.34043,1366203.5999999999,0.0,128733.89413533836,1723449.9592142764,0.0
42,55471773396.49792,1366203.5999999999,0.0,128733.89413533836,806193.5483871023,0.0
43,55473010866.20378,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
44,55474248335.909645,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
45,55475485805.61551,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
46,55476723275.32137,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
47,55477960745.02724,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
48,55479198214.7331,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
49,55480435684.438965,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
50,55481673154.14483,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
51,55482910623.85069,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
52,55484148093.55656,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
53,55485385563.26242,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
54,55486623032.968285,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
55,55487860502.67415,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
56,55488843189.79347,1366203.5999999999,0.0,128733.89413533836,254782.58654826978,0.0
57,55485424833.30058,1366203.5999999999,0.0,128733.89413533836,4655826.198751855,0.0
58,55480991423.6553,1366203.5999999999,0.0,128733.89413533836,5670879.351153458,0.0
59,55476701255.5818,1366203.5999999999,0.0,128733.89413533836,5527637.779358825,0.0
60,55473102673.35533,1366203.5999999999,0.0,128733.89413533836,4836051.932330799,0.0
61,55470196141.93008,1366203.5999999999,0.0,128733.89413533836,4144001.131122692,0.0
62,55467235161.51134,1366203.5999999999,0.0,128733.89413533836,4198450.124602556,0.0
63,55464397206.94762,1366203.5999999999,0.0,128733.89413533836,4075424.2695853715,0.0
64,55462663027.94613,1366203.5999999999,0.0,128733.89413533836,2971648.7073495425,0.0
65,55462130320.81106,1366203.5999999999,0.0,128733.89413533836,1770176.8409347534,0.0
66,55462484177.613686,1366203.5999999999,0.0,128733.89413533836,883612.9032258042,0.0
67,55463721647.31955,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
68,55464959117.02541,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
69,55466196586.73128,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
70,55467434056.43714,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
71,55468671526.143005,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
72,55469908995.84887,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
73,55471146465.55473,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
74,55472383935.2606,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
75,55473621404.96646,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
76,55474858874.672325,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
77,55476096344.37819,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
78,55477333814.08405,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
79,55478571283.78992,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
80,55479571863.38236,1366203.5999999999,0.0,128733.89413533836,236890.11342999086,0.0
81,55476193764.953995,1366203.5999999999,0.0,128733.89413533836,4615568.134235724,0.0
82,55471825387.56677,1366203.5999999999,0.0,128733.89413533836,5605847.093088938,0.0
83,55467626746.375,1366203.5999999999,0.0,128733.89413533836,5436110.897638392,0.0
84,55464148938.34209,1366203.5999999999,0.0,128733.89413533836,4715277.7387790065,0.0
85,55461394492.93833,1366203.5999999999,0.0,128733.89413533836,3991915.1096173134,0.0
86,55458618286.713135,1366203.5999999999,0.0,128733.89413533836,4013675.931060773,0.0
87,55456000065.48275,1366203.5999999999,0.0,128733.89413533836,3855690.9362520394,0.0
88,55454521955.29847,1366203.5999999999,0.0,128733.89413533836,2715579.890141088,0.0
89,55454614658.91609,1366203.5999999999,0.0,128733.89413533836,1144766.088246531,0.0
90,55455852128.621956,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
91,55457089598.32782,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
92,55458327068.03368,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
93,55459564537.73955,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
94,55460802007.44541,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
95,55462039477.151276,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
96,55463276946.85714,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
97,55464514416.563,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
98,55465751886.26887,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
99,55466989355.97473,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
100,55468226825.680595,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
101,55469464295.38646,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
102,55470701765.09232,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
103,55471939234.79819,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
104,55473176704.50405,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
105,55472921874.8929,1366203.5999999999,0.0,128733.89413533836,1492299.3170278876,0.0
106,55471704981.37664,1366203.5999999999,0.0,128733.89413533836,2454363.222121203,0.0
107,55470683286.421425,1366203.5999999999,0.0,128733.89413533836,2259164.6610792507,0.0
108,55470404411.72184,1366203.5999999999,0.0,128733.89413533836,1516344.4054490775,0.0
109,55470867583.52239,1366203.5999999999,0.0,128733.89413533836,774297.9053115845,0.0
110,55471323859.017624,1366203.5999999999,0.0,128733.89413533836,781194.2106306667,0.0
111,55471948579.722725,1366203.5999999999,0.0,128733.89413533836,612749.000768167,0.0
112,55473186049.42859,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
113,55474423519.13445,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
114,55475660988.84032,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
115,55476898458.54618,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
116,55478135928.252045,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
117,55479373397.95791,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
118,55480610867.66377,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
119,55481848337.36964,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
120,55483085807.0755,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
121,55484323276.781364,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
122,55485560746.48723,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
123,55486798216.19309,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
124,55488035685.89896,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
125,55489273155.60482,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
126,55490510625.310684,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
127,55491748095.01655,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
128,55492985564.72241,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
129,55493303259.84244,1366203.5999999999,0.0,128733.89413533836,919774.5858483491,0.0
130,55492601703.96059,1366203.5999999999,0.0,128733.89413533836,1939025.5877125978,0.0
131,55492035854.16666,1366203.5999999999,0.0,128733.89413533836,1803319.4997889304,0.0
132,55492151267.639114,1366203.5999999999,0.0,128733.89413533836,1122056.2334060685,0.0
133,55492945106.10633,1366203.5999999999,0.0,128733.89413533836,443631.23864877946,0.0
134,55493666671.92415,1366203.5999999999,0.0,128733.89413533836,515903.8880500203,0.0
135,55494489792.62925,1366203.5999999999,0.0,128733.89413533836,414349.0007640328,0.0
136,55495727262.33511,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
137,55496964732.04098,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
138,55498202201.74684,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
139,55499439671.452705,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
140,55500677141.15857,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
141,55501914610.86443,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
142,55503152080.5703,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
143,55504389550.27616,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
144,55505627019.982025,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
145,55506864489.68789,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
146,55508101959.39375,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
147,55509339429.09962,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
148,55510576898.80548,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
149,55511814368.511345,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
150,55513051838.21721,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
151,55514289307.92307,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
152,55515526777.62894,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
153,55512682700.705956,1366203.5999999999,0.0,128733.89413533836,4081546.6288593803,0.0
154,55508774710.415504,1366203.5999999999,0.0,128733.89413533836,5145459.996314748,0.0
155,55504961445.567825,1366203.5999999999,0.0,128733.89413533836,5050734.553543091,0.0
156,55501791938.610176,1366203.5999999999,0.0,128733.89413533836,4406976.663513594,0.0
157,55499268030.84083,1366203.5999999999,0.0,128733.89413533836,3761377.4752087174,0.0
158,55496643566.55111,1366203.5999999999,0.0,128733.89413533836,3861933.9955825806,0.0
159,55494097052.8476,1366203.5999999999,0.0,128733.89413533836,3783983.4093703167,0.0
160,55492610271.69558,1366203.5999999999,0.0,128733.89413533836,2724250.857887268,0.0
161,55492661203.27019,1366203.5999999999,0.0,128733.89413533836,1186538.1312572856,0.0
162,55493812651.47068,1366203.5999999999,0.0,128733.89413533836,86021.50536991167,0.0
163,55495050121.176544,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
164,55496287590.88241,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
165,55497525060.58827,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
166,55498762530.294136,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
167,55500000000.0,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
