,Hydro (MW),Solar (MW),Wind (MW),Loss Load (MW),Load (MW)
0,0.0,0.0,22333.563087624654,0.0,6139.8
1,0.0,0.0,20390.544552539108,0.0,6192.528
2,0.0,0.0,18591.689854451495,0.0,6383.4400000000005
3,0.0,0.0,24833.301662137856,0.0,6704.112
4,0.0,0.0,23072.833918244076,0.0,7123.68
5,0.0,8.808680284480968,22326.619243840716,0.0,7593.448
6,0.0,147.54539476505622,20993.54433171978,0.0,8055.68
7,0.0,1642.8188730556992,19433.032176181197,0.0,8454.560000000001
8,0.0,4140.079733706055,15604.75252247323,0.0,8746.560000000001
9,0.0,6148.458838567715,12339.195341485538,0.0,8907.92
10,0.0,7588.678065080353,10882.117839448658,0.0,8937.2
11,0.0,8333.011549118995,10249.52764570499,0.0,8853.12
12,0.0,8429.907032248286,10171.556263172359,0.0,8687.6
13,0.0,7899.184045108308,10437.696774708924,0.0,8476.56
14,0.0,6850.951091255072,10663.763324451213,0.0,8251.2
15,0.0,5254.377789692897,11375.394343045647,0.0,8031.040000000001
16,0.0,3153.507541844186,12954.832615101617,0.0,7821.536
17,0.0,724.5139533985596,15512.878389804868,0.0,7876.112
18,0.0,11.01085035560121,18566.53536612357,0.0,8816.0
19,0.0,0.0,21352.146416071286,0.0,9754.64
20,0.0,0.0,23204.699168583476,0.0,9721.84
21,0.0,0.0,24040.06165087235,0.0,8550.800000000001
22,0.0,0.0,24235.091779536986,0.0,7027.152
23,4428.691540449233,0.0,23597.40290657236,0.0,6255.5199999999995
24,0.0,0.0,22333.563087624654,0.0,6172.376
25,0.0,0.0,20390.544552539108,0.0,6214.255999999999
26,0.0,0.0,18591.689854451495,0.0,6394.712
27,0.0,0.0,24833.301662137856,0.0,6705.376
28,0.0,0.0,23072.833918244076,0.0,7115.432
29,0.0,8.808680284480968,22326.619243840716,0.0,7576.192
30,0.0,147.54539476505622,20993.54433171978,0.0,8029.999999999999
31,0.0,1642.8188730556992,19433.032176181197,0.0,8421.039999999999
32,0.0,4140.079733706055,15604.75252247323,0.0,8705.76
33,0.0,6148.458838567715,12339.195341485538,0.0,8860.480000000001
34,0.0,7588.678065080353,10882.117839448658,0.0,8883.84
35,0.0,8333.011549118995,10249.52764570499,0.0,8794.48
36,0.0,8429.907032248286,10171.556263172359,0.0,8624.320000000002
37,0.0,7899.184045108308,10437.696774708924,0.0,8409.359999999999
38,0.0,6850.951091255072,10663.763324451213,0.0,8180.720000000001
39,0.0,5254.377789692897,11375.394343045647,0.0,7957.944
40,0.0,3153.507541844186,12954.832615101617,0.0,7746.544
41,0.0,724.5139533985596,15512.878389804868,0.0,7854.024
42,0.0,11.01085035560121,18566.53536612357,0.0,8828.480000000001
43,0.0,0.0,21352.146416071286,0.0,9744.56
44,0.0,0.0,23204.699168583476,0.0,9668.960000000001
45,0.0,0.0,24040.06165087235,0.0,8473.44
46,0.0,0.0,24235.091779536986,0.0,6950.064
47,4428.691540449233,0.0,23597.40290657236,0.0,6184.256
48,0.0,0.0,22333.563087624654,0.0,6103.776
49,0.0,0.0,20390.544552539108,0.0,6148.744
50,0.0,0.0,18591.689854451495,0.0,6332.68
51,0.0,0.0,24833.301662137856,0.0,6647.168
52,0.0,0.0,23072.833918244076,0.0,7061.344
53,0.0,8.808680284480968,22326.619243840716,0.0,7526.4800000000005
54,0.0,147.54539476505622,20993.54433171978,0.0,7984.84
55,0.0,1642.8188730556992,19433.032176181197,0.0,8380.56
56,0.0,4140.079733706055,15604.75252247323,0.0,8670.16
57,0.0,6148.458838567715,12339.195341485538,0.0,8829.76
58,0.0,7588.678065080353,10882.117839448658,0.0,8858.0
59,0.0,8333.011549118995,10249.52764570499,0.0,8773.36
60,0.0,8429.907032248286,10171.556263172359,0.0,8607.92
61,0.0,7899.184045108308,10437.696774708924,0.0,8397.6
62,0.0,6850.951091255072,10663.763324451213,0.0,8173.28
63,0.0,5254.377789692897,11375.394343045647,0.0,7954.608
64,0.0,3153.507541844186,12954.832615101617,0.0,7747.023999999999
65,0.0,724.5139533985596,15512.878389804868,0.0,7864.888
66,0.0,11.01085035560121,18566.53536612357,0.0,8846.48
67,0.0,0.0,21352.146416071286,0.0,9762.4
68,0.0,0.0,23204.699168583476,0.0,9683.76
69,0.0,0.0,24040.06165087235,0.0,8486.88
70,0.0,0.0,24235.091779536986,0.0,6964.632
71,4428.691540449233,0.0,23597.40290657236,0.0,6199.976000000001
72,0.0,0.0,22333.563087624654,0.0,6119.656
73,0.0,0.0,20390.544552539108,0.0,6164.215999999999
74,0.0,0.0,18591.689854451495,0.0,6347.152
75,0.0,0.0,24833.301662137856,0.0,6660.04
76,0.0,0.0,23072.833918244076,0.0,7072.0
77,0.0,8.808680284480968,22326.619243840716,0.0,7534.328
78,0.0,147.54539476505622,20993.54433171978,0.0,7989.28
79,0.0,1642.8188730556992,19433.032176181197,0.0,8381.04
80,0.0,4140.079733706055,15604.75252247323,0.0,8666.0
81,0.0,6148.458838567715,12339.195341485538,0.0,8820.4
82,0.0,7588.678065080353,10882.117839448658,0.0,8842.88
83,0.0,8333.011549118995,10249.52764570499,0.0,8752.08
84,0.0,8429.907032248286,10171.556263172359,0.0,8579.84
85,0.0,7899.184045108308,10437.696774708924,0.0,8362.24
86,0.0,6850.951091255072,10663.763324451213,0.0,8130.32
87,0.0,5254.377789692897,11375.394343045647,0.0,7903.52
88,0.0,3153.507541844186,12954.832615101617,0.0,7687.488
89,0.0,724.5139533985596,15512.878389804868,0.0,7719.48
90,0.0,11.01085035560121,18566.53536612357,0.0,8641.04
91,0.0,0.0,21352.146416071286,0.0,9579.68
92,0.0,0.0,23204.699168583476,0.0,9553.92
93,0.0,0.0,24040.06165087235,0.0,8384.4
94,0.0,0.0,24235.091779536986,0.0,6854.592000000001
95,4428.691540449233,0.0,23597.40290657236,0.0,6075.08
96,0.0,0.0,22333.563087624654,0.0,5985.16
97,0.0,0.0,20390.544552539108,0.0,6020.2080000000005
98,0.0,0.0,18591.689854451495,0.0,6193.792
99,0.0,0.0,24833.301662137856,0.0,5981.616
100,0.0,0.0,23072.833918244076,0.0,6384.744000000001
101,0.0,8.808680284480968,22326.619243840716,0.0,6838.56
102,0.0,147.54539476505622,20993.54433171978,0.0,7285.336
103,0.0,1642.8188730556992,19433.032176181197,0.0,7669.255999999999
104,0.0,4140.079733706055,15604.75252247323,0.0,7946.799999999999
105,0.0,6148.458838567715,12339.195341485538,0.0,8094.239999999999
106,0.0,7588.678065080353,10882.117839448658,0.0,8110.160000000001
107,0.0,8333.011549118995,10249.52764570499,0.0,8013.44
108,0.0,8429.907032248286,10171.556263172359,0.0,7836.088
109,0.0,7899.184045108308,10437.696774708924,0.0,7614.143999999999
110,0.0,6850.951091255072,10663.763324451213,0.0,7378.768
111,0.0,5254.377789692897,11375.394343045647,0.0,7149.536
112,0.0,3153.507541844186,12954.832615101617,0.0,6932.04
113,0.0,724.5139533985596,15512.878389804868,0.0,6997.808
114,0.0,11.01085035560121,18566.53536612357,0.0,7944.168000000001
115,0.0,0.0,21352.146416071286,0.0,8869.92
116,0.0,0.0,23204.699168583476,0.0,8817.6
117,0.0,0.0,24040.06165087235,0.0,7633.864
118,0.0,0.0,24235.091779536986,0.0,6106.728
119,4428.691540449233,0.0,23597.40290657236,0.0,5334.16
120,0.0,0.0,22333.563087624654,0.0,5249.6320000000005
121,0.0,0.0,20390.544552539108,0.0,5290.96
122,0.0,0.0,18591.689854451495,0.0,5471.72
123,0.0,0.0,24833.301662137856,0.0,5783.552000000001
124,0.0,0.0,23072.833918244076,0.0,6195.592000000001
125,0.0,8.808680284480968,22326.619243840716,0.0,6659.128
126,0.0,147.54539476505622,20993.54433171978,0.0,7116.416
127,0.0,1642.8188730556992,19433.032176181197,0.0,7511.584
128,0.0,4140.079733706055,15604.75252247323,0.0,7801.088
129,0.0,6148.458838567715,12339.195341485538,0.0,7961.128000000001
130,0.0,7588.678065080353,10882.117839448658,0.0,7990.344
131,0.0,8333.011549118995,10249.52764570499,0.0,7907.456
132,0.0,8429.907032248286,10171.556263172359,0.0,7744.416
133,0.0,7899.184045108308,10437.696774708924,0.0,7537.264
134,0.0,6850.951091255072,10663.763324451213,0.0,7317.088
135,0.0,5254.377789692897,11375.394343045647,0.0,7103.408
136,0.0,3153.507541844186,12954.832615101617,0.0,6901.728
137,0.0,724.5139533985596,15512.878389804868,0.0,7015.04
138,0.0,11.01085035560121,18566.53536612357,0.0,7997.528
139,0.0,0.0,21352.146416071286,0.0,8926.48
140,0.0,0.0,23204.699168583476,0.0,8865.52
141,0.0,0.0,24040.06165087235,0.0,7683.312
142,0.0,0.0,24235.091779536986,0.0,6171.512
143,4428.691540449233,0.0,23597.40290657236,0.0,5416.976
144,0.0,0.0,22333.563087624654,0.0,5348.143999999999
145,0.0,0.0,20390.544552539108,0.0,5404.856
146,0.0,0.0,18591.689854451495,0.0,5600.632
147,0.0,0.0,24833.301662137856,0.0,5927.031999999999
148,0.0,0.0,23072.833918244076,0.0,6869.048000000001
149,0.0,8.808680284480968,22326.619243840716,0.0,7346.072
150,0.0,147.54539476505622,20993.54433171978,0.0,7816.2880000000005
151,0.0,1642.8188730556992,19433.032176181197,0.0,8223.839999999998
152,0.0,4140.079733706055,15604.75252247323,0.0,8525.04
153,0.0,6148.458838567715,12339.195341485538,0.0,8696.24
154,0.0,7588.678065080353,10882.117839448658,0.0,8735.84
155,0.0,8333.011549118995,10249.52764570499,0.0,8662.48
156,0.0,8429.907032248286,10171.556263172359,0.0,8508.16
157,0.0,7899.184045108308,10437.696774708924,0.0,8308.640000000001
158,0.0,6850.951091255072,10663.763324451213,0.0,8095.039999999999
159,0.0,5254.377789692897,11375.394343045647,0.0,7886.848
160,0.0,3153.507541844186,12954.832615101617,0.0,7689.504
161,0.0,724.5139533985596,15512.878389804868,0.0,7729.192
162,0.0,11.01085035560121,18566.53536612357,0.0,8661.039999999999
163,0.0,0.0,21352.146416071286,0.0,9623.039999999999
164,0.0,0.0,23204.699168583476,0.0,9625.679999999998
165,0.0,0.0,24040.06165087235,0.0,8480.72
